model,pred,segment,value,n,rmse,mae,mape,bias
xgb_no_lag,prediction_calibrated,year_end_inventory_clearance_window,1,610,729300.6948658726,525348.124024144,0.23569446686154816,4960.240327543924
xgb_no_lag_residual_no_marketing,prediction_calibrated,year_end_inventory_clearance_window,1,610,751062.3966230706,550660.8406822787,0.2464035649839703,11642.512639370005
xgb_no_lag_residual,prediction_calibrated,year_end_inventory_clearance_window,1,610,753224.1974992637,555049.4352550688,0.2483280990307785,-1082.9569250599588
xgb,prediction_calibrated,year_end_inventory_clearance_window,1,610,770421.6307123485,563387.8186767076,0.25380592735323193,38744.18523919352
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,year_end_inventory_clearance_window,1,610,879642.3602071923,655616.1295603674,0.2993446585030296,79027.14020891686
xgb_no_lag_residual,prediction_raw,actual_bucket,q1,293,408975.0585548077,308558.7827369296,0.2596104024960972,89641.67554970414
xgb_no_lag_residual_no_marketing,prediction_raw,actual_bucket,q1,293,410242.0605145633,309887.23763958045,0.26080043675551573,89859.61423044512
xgb_no_lag,prediction_raw,actual_bucket,q1,293,437394.18930792925,320574.51180887374,0.27112685025001904,130147.96313993173
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,actual_bucket,q1,293,455301.8393560181,352144.8869510154,0.2891405356313661,-64798.942163907624
xgb,prediction_raw,actual_bucket,q1,293,523191.88222390536,397257.6494539249,0.3468256553230222,284116.6644709898
xgb_no_lag,prediction_raw,actual_bucket,q2,293,537904.4463885791,415601.7375426621,0.2208040692287106,-81081.7737883959
xgb_no_lag_residual_no_marketing,prediction_raw,actual_bucket,q2,293,547254.0827946122,422016.8868055182,0.22473368628354337,-101356.45877358675
xgb_no_lag_residual,prediction_raw,actual_bucket,q2,293,547404.0045658842,423233.59393388906,0.22529984137772788,-105402.38931006829
xgb,prediction_raw,actual_bucket,q2,293,558524.6332624567,415677.2609215017,0.2219571220724153,51698.73197952218
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,actual_bucket,q2,293,665399.615524947,538684.6762051489,0.2861406341872583,-295371.2272545561
xgb_no_lag_residual,prediction_raw,actual_bucket,q3,293,694364.6515782883,546787.4570451602,0.2159867575452063,-194519.14804629696
xgb_no_lag_residual_no_marketing,prediction_raw,actual_bucket,q3,293,696973.1260598617,547498.7886187105,0.21621074037356638,-188214.23199594312
xgb,prediction_raw,actual_bucket,q3,293,711568.1585420398,562480.1459726961,0.22393959065587443,-3510.4024232082106
xgb_no_lag,prediction_raw,actual_bucket,q3,293,716262.6978502873,566583.462559727,0.22530367741088755,-84281.12187713312
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,actual_bucket,q3,293,851713.7072332168,692370.9170573229,0.27282310795947534,-433163.36018238653
xgb,prediction_raw,actual_bucket,q4,293,793069.5920545144,637996.525119454,0.1859950897012265,-293140.1082593857
xgb_no_lag,prediction_raw,actual_bucket,q4,293,837981.4747054373,673686.4553583617,0.1962716047525769,-324467.69631399313
xgb_no_lag_residual_no_marketing,prediction_raw,actual_bucket,q4,293,907452.8892302334,732257.2743528192,0.21136664375040481,-494923.95388994407
xgb_no_lag_residual,prediction_raw,actual_bucket,q4,293,913631.9218925232,738614.6936115603,0.21333605067876243,-508737.9116210272
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,actual_bucket,q4,293,1203076.197639966,1036021.5147941412,0.29781429499983736,-869085.5955935123
xgb_no_lag,prediction_raw,actual_bucket,q5,291,1304484.514826316,999940.1739518901,0.18642370737621905,-705114.7780068729
xgb,prediction_raw,actual_bucket,q5,291,1373526.5104009549,1075996.9052233677,0.19850444936440673,-921313.301718213
xgb_no_lag_residual_no_marketing,prediction_raw,actual_bucket,q5,291,1503168.376918816,1177528.3585213516,0.21158322892822953,-1085593.5346737674
xgb_no_lag_residual,prediction_raw,actual_bucket,q5,291,1512490.940792147,1190713.989799035,0.21386056934586709,-1109871.6160547861
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,actual_bucket,q5,291,1809989.6060857333,1489840.7823620941,0.2774460241684508,-1291519.731231675
xgb_no_lag_residual_no_marketing,prediction_raw,horizon_bucket,01-30,90,725980.776316342,504096.1592909376,0.19971277233077533,-291775.0677654841
xgb_no_lag_residual,prediction_raw,horizon_bucket,01-30,90,733730.6754447782,511258.35475650197,0.2019717856936227,-295957.0105769595
xgb,prediction_raw,horizon_bucket,01-30,90,750030.8395397743,504755.6492222223,0.21559594391711978,-177341.2318888889
xgb_no_lag,prediction_raw,horizon_bucket,01-30,90,756449.2149077802,530968.6156666667,0.21886690729465863,-101279.16255555555
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,horizon_bucket,01-30,90,784081.6130808973,550508.5589178697,0.2024913151516329,-371904.28606165736
xgb_no_lag,prediction_raw,horizon_bucket,121+,1103,793327.3111142238,581388.7948232094,0.21952067646924103,-208300.89507706257
xgb,prediction_raw,horizon_bucket,121+,1103,832557.6213118288,613858.8826382592,0.2400897747886655,-153364.90329102447
xgb_no_lag_residual_no_marketing,prediction_raw,horizon_bucket,121+,1103,889276.2424393309,631129.8381725994,0.22387808048762411,-375249.2198750433
xgb_no_lag_residual,prediction_raw,horizon_bucket,121+,1103,889400.5042343555,632501.2861758528,0.22394740736918498,-381757.23132269824
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,horizon_bucket,121+,1103,1117658.7067500087,834169.5395128301,0.29292196085532757,-635918.8709445776
xgb_no_lag,prediction_raw,horizon_bucket,31-60,90,1083473.827266922,809467.7733333333,0.27399768571960575,-417813.50600000005
xgb,prediction_raw,horizon_bucket,31-60,90,1087920.523665971,799622.7066666668,0.26518791439408507,-429003.45933333336
xgb_no_lag_residual_no_marketing,prediction_raw,horizon_bucket,31-60,90,1179404.2065650865,907201.6992764818,0.32106850309308566,-338004.597105387
xgb_no_lag_residual,prediction_raw,horizon_bucket,31-60,90,1198651.9226311182,921755.0695288639,0.3237795465777471,-371946.8961113527
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,horizon_bucket,31-60,90,1318595.632304358,1017331.0202023749,0.3396164446006951,-523834.3572503686
xgb_no_lag_residual_no_marketing,prediction_raw,horizon_bucket,61-90,90,1033799.3910406084,697831.1059009718,0.19739498405387604,-349285.5694397604
xgb,prediction_raw,horizon_bucket,61-90,90,1034969.4764908853,695784.3706666667,0.2050763725504752,-285989.94755555555
xgb_no_lag,prediction_raw,horizon_bucket,61-90,90,1042252.2979648256,653821.1579999999,0.1939966934474832,-304632.92688888893
xgb_no_lag_residual,prediction_raw,horizon_bucket,61-90,90,1052343.4145186746,707843.4333564318,0.2001303838161055,-351109.1513556117
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,horizon_bucket,61-90,90,1174458.769066575,868415.6989877021,0.2578731686884979,-562573.1188466344
xgb,prediction_raw,horizon_bucket,91-120,90,624811.2458352842,510485.5538888888,0.19980630574540975,-79502.81611111111
xgb_no_lag_residual_no_marketing,prediction_raw,horizon_bucket,91-120,90,642146.255701463,512437.4326250343,0.19487783428929922,-193555.79884046776
xgb_no_lag_residual,prediction_raw,horizon_bucket,91-120,90,653258.6616782398,524552.5744306744,0.19733739075796813,-231727.18348184548
xgb_no_lag,prediction_raw,horizon_bucket,91-120,90,691026.1000974154,548069.9745555555,0.1995310444501389,-74269.10877777777
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,horizon_bucket,91-120,90,860582.2515247391,684708.1676915282,0.23777476082060175,-336160.8024913012
xgb_no_lag,prediction_raw,is_aug_odd,0,1401,827554.1562199794,596809.3294004282,0.2171437002624772,-229026.27923625984
xgb,prediction_raw,is_aug_odd,0,1401,852139.0947940793,619423.194910778,0.23268880470857445,-195152.59416845112
xgb_no_lag_residual_no_marketing,prediction_raw,is_aug_odd,0,1401,897211.9406277896,633511.9155031703,0.2186678048086363,-383357.5600379
xgb_no_lag_residual,prediction_raw,is_aug_odd,0,1401,901231.6044168965,637526.063315376,0.21946334990935626,-393330.8820896505
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,is_aug_odd,0,1401,1107650.450404893,821486.5439952541,0.28039687373485395,-612633.7490185334
xgb_no_lag,prediction_raw,is_aug_odd,1,62,725330.6040471265,547603.9861290322,0.28529502999858253,165974.2993548387
xgb,prediction_raw,is_aug_odd,1,62,761083.8754922387,568270.9148387098,0.298903136932634,270676.2122580645
xgb_no_lag_residual_no_marketing,prediction_raw,is_aug_odd,1,62,901594.6106110859,718177.3164974785,0.36707736580618067,284647.727537518
xgb_no_lag_residual,prediction_raw,is_aug_odd,1,62,901868.6531635156,715512.1424781657,0.3650896245369802,280834.16002169356
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,is_aug_odd,1,62,996456.4226164747,807630.0656008638,0.3815308831358787,-74534.8886354909
xgb_no_lag,prediction_raw,is_month_end,0,1415,813047.4596537001,589167.6797243815,0.2209198993843852,-209636.66154770317
xgb,prediction_raw,is_month_end,0,1415,833389.1639626878,606537.6156254417,0.23528454299876023,-170271.30749823322
xgb_no_lag_residual_no_marketing,prediction_raw,is_month_end,0,1415,875531.2689853413,624520.910449675,0.22527820615858246,-339169.69535330153
xgb_no_lag_residual,prediction_raw,is_month_end,0,1415,879004.9594332195,628165.8935200789,0.22596125853873192,-349025.7640851175
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,is_month_end,0,1415,1072511.928131125,800659.6272231052,0.28329259922251776,-573564.0338657437
xgb_no_lag,prediction_raw,is_month_end,1,48,1086922.5013176682,758521.8920833332,0.1938532978903672,-290406.97000000003
xgb,prediction_raw,is_month_end,1,48,1211631.5566323241,933207.6391666667,0.2416954488185498,-326936.64916666667
xgb_no_lag_residual_no_marketing,prediction_raw,is_month_end,1,48,1395773.002871712,1007918.7282603198,0.21549436463517632,-823138.8246010435
xgb_no_lag_residual,prediction_raw,is_month_end,1,48,1407179.4435231208,1014188.0876578474,0.21601102316656762,-828612.3272044616
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,is_month_end,1,48,1784101.051261295,1417548.743414805,0.3256647282727531,-1069332.0322987186
xgb_no_lag,prediction_raw,is_tet_week,0,1418,823215.5552676955,593939.7918688293,0.21912584524066575,-207875.71160084632
xgb,prediction_raw,is_tet_week,0,1418,849204.3002118181,617154.7284696755,0.23481496051570083,-170655.72889280677
xgb_no_lag_residual_no_marketing,prediction_raw,is_tet_week,0,1418,895905.9217093992,636143.3159418651,0.22424550636258714,-350315.30845579726
xgb_no_lag_residual,prediction_raw,is_tet_week,0,1418,899715.7136532135,639857.3977462137,0.2248521187599984,-360545.63703562075
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,is_tet_week,0,1418,1103826.7692938382,821126.4445022601,0.2838572901455758,-586733.778836215
xgb,prediction_raw,is_tet_week,1,45,825284.1402484727,620428.6182222222,0.2569199083393846,-325267.45999999996
xgb_no_lag,prediction_raw,is_tet_week,1,45,831756.6165544698,619437.6168888889,0.24858149725285753,-351281.1466666666
xgb_no_lag_residual_no_marketing,prediction_raw,is_tet_week,1,45,943210.0753954764,667243.6719382379,0.2473836265496468,-504192.7803433617
xgb_no_lag_residual,prediction_raw,is_tet_week,1,45,948592.4213607109,671510.611874603,0.25029790094718296,-497580.76821656054
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,is_tet_week,1,45,1082125.8700411988,813742.5311199947,0.3106954984561834,-687389.9351247319
xgb_no_lag,prediction_raw,month,1,93,629664.0866114555,477456.36193548376,0.2682186842885509,-198609.13999999996
xgb,prediction_raw,month,1,93,664396.2014143083,507500.40322580654,0.29654489254943067,-157863.08946236558
xgb_no_lag_residual_no_marketing,prediction_raw,month,1,93,709124.8687281887,494062.9711610986,0.25230675572162686,-352691.26461751794
xgb_no_lag_residual,prediction_raw,month,1,93,716369.282083961,496079.53880162636,0.25237614595309243,-359533.3547265872
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,1,93,792224.0243988307,584782.8038813412,0.2994340624340148,-485015.48724264035
xgb_no_lag_residual_no_marketing,prediction_raw,month,10,155,572777.827311827,458476.23027663305,0.2056918453140361,-253246.68794459457
xgb_no_lag_residual,prediction_raw,month,10,155,581647.2352563218,466976.39670341706,0.20841027031359344,-274762.746085613
xgb,prediction_raw,month,10,155,620489.0042967132,472804.8813548386,0.22023933724086417,-103117.95851612905
xgb_no_lag,prediction_raw,month,10,155,624111.0053434338,478630.9041935484,0.2156862671956307,-246097.79619354836
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,10,155,844889.1320623042,679601.1038243745,0.2941310705152138,-522636.2485943087
xgb,prediction_raw,month,11,150,558516.3822543982,437744.5097333333,0.2823005058059053,29094.615333333346
xgb_no_lag,prediction_raw,month,11,150,560935.7354278351,420258.36713333335,0.2566588196794873,-106969.18246666665
xgb_no_lag_residual_no_marketing,prediction_raw,month,11,150,589320.9693264737,414403.99826478097,0.2381389378877509,-191287.65599884832
xgb_no_lag_residual,prediction_raw,month,11,150,597091.237295953,420276.05771617556,0.24078364956478462,-195869.58430504112
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,11,150,708338.3184377926,520288.4103460609,0.29567866781659013,-342673.85811863927
xgb_no_lag,prediction_raw,month,12,155,505203.76113147696,383671.59541935485,0.23735053168593637,-168735.22070967744
xgb,prediction_raw,month,12,155,535417.3452896936,411128.5743870968,0.2811673818810376,17635.672322580664
xgb_no_lag_residual,prediction_raw,month,12,155,569712.197120273,431047.58488728927,0.2628989079647982,-320166.8225546431
xgb_no_lag_residual_no_marketing,prediction_raw,month,12,155,577226.0867590758,438792.7758386544,0.26785737347755567,-326806.06646534626
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,12,155,716210.0489757507,549481.7977663392,0.32695635133326933,-425311.9691832749
xgb_no_lag,prediction_raw,month,2,84,1050943.7727053687,709296.6875,0.22975767026963484,-390934.9651190476
xgb,prediction_raw,month,2,84,1071385.6009305965,737168.525,0.24588568232618901,-411303.95023809525
xgb_no_lag_residual_no_marketing,prediction_raw,month,2,84,1149621.3176279073,777843.1877148172,0.24369325218449026,-520514.04874949594
xgb_no_lag_residual,prediction_raw,month,2,84,1153566.1901978154,780627.472162189,0.24562735047071402,-528978.5417005374
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,2,84,1249557.2434440274,887644.2600077885,0.2906030235784452,-688438.8404372638
xgb_no_lag,prediction_raw,month,3,93,1223064.2148261026,877108.5262365593,0.21848514534809585,-705076.1830107527
xgb_no_lag_residual_no_marketing,prediction_raw,month,3,93,1247915.1752347434,902783.7821409527,0.2176667727469387,-757482.0445117303
xgb_no_lag_residual,prediction_raw,month,3,93,1272005.9726700673,917464.4113190629,0.22000500865835662,-780983.3232007788
xgb,prediction_raw,month,3,93,1326979.8888256273,980423.018387097,0.22972481468377043,-846380.9734408604
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,3,93,1418901.072425733,1120577.2207457907,0.2903535629317067,-1024168.7924208693
xgb_no_lag,prediction_raw,month,4,90,860622.0612477657,707143.897888889,0.172455739436186,-106012.2238888889
xgb,prediction_raw,month,4,90,883111.4754704557,707834.1247777778,0.1769010988379716,-257361.90388888892
xgb_no_lag_residual,prediction_raw,month,4,90,1005474.4731712404,779980.3421952053,0.18060564718086322,-442729.6926697332
xgb_no_lag_residual_no_marketing,prediction_raw,month,4,90,1016908.5192064974,780902.3884909287,0.18093493063822105,-428192.6254581675
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,4,90,1302833.1065041404,1038898.8222418008,0.22664161103957384,-681067.0610774055
xgb_no_lag,prediction_raw,month,5,93,1103070.154684929,880734.8145161291,0.21092723918145476,-195609.84612903223
xgb,prediction_raw,month,5,93,1123177.2248190034,876916.1016129031,0.20969999471678005,-299937.94182795694
xgb_no_lag_residual,prediction_raw,month,5,93,1234815.340056499,928629.3993929225,0.21418544874587714,-354670.1186205703
xgb_no_lag_residual_no_marketing,prediction_raw,month,5,93,1239933.9594881563,927239.7961704284,0.21470462656180406,-341886.8584718206
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,5,93,1606010.3396109596,1274526.3222120649,0.28833699837448534,-856878.7468335883
xgb_no_lag,prediction_raw,month,6,90,766101.0184130961,620819.4973333332,0.14732250782253256,-231876.36711111115
xgb,prediction_raw,month,6,90,854552.1242121415,680868.7166666667,0.15330811512651027,-400650.5737777778
xgb_no_lag_residual,prediction_raw,month,6,90,1067035.0149145895,795510.1460164418,0.16597475452354438,-597158.2000307272
xgb_no_lag_residual_no_marketing,prediction_raw,month,6,90,1078450.631996475,805290.1299589402,0.16869338423935926,-594789.5436064373
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,6,90,1327323.8707457676,1109337.6183558002,0.2498134045701128,-977426.2533387325
xgb,prediction_raw,month,7,155,772715.480958574,557494.6310967741,0.1913021545437424,-142585.82916129034
xgb_no_lag,prediction_raw,month,7,155,798742.7053720128,583070.0721935483,0.1909245837818776,-161897.11335483872
xgb_no_lag_residual_no_marketing,prediction_raw,month,7,155,824528.0974811881,577876.4719500726,0.1796573574089542,-368622.2672530577
xgb_no_lag_residual,prediction_raw,month,7,155,825097.4662158942,584434.5868825209,0.18159273784586857,-372768.2399864927
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,7,155,1142633.210450922,814766.2154403424,0.24184010123424246,-597872.0833726688
xgb_no_lag,prediction_raw,month,8,155,965991.3146379171,719310.3463225806,0.25438896343904305,-89575.5209032258
xgb,prediction_raw,month,8,155,976394.1761322486,740236.605548387,0.2577350963743238,-109069.93703225812
xgb_no_lag_residual_no_marketing,prediction_raw,month,8,155,1087107.8488719815,856596.0177805121,0.29622373923180967,-255536.55865469459
xgb_no_lag_residual,prediction_raw,month,8,155,1100812.175572755,867765.2656052453,0.29899432662277164,-275980.0195307845
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,8,155,1235378.075793421,971726.596144434,0.3226142457151146,-406521.73867083923
xgb_no_lag_residual_no_marketing,prediction_raw,month,9,150,781898.4203333216,561736.3474498978,0.20412001134267402,-221711.1217268706
xgb_no_lag_residual,prediction_raw,month,9,150,789643.0137159969,566804.6099564037,0.20511078119083537,-229452.44634157966
xgb_no_lag,prediction_raw,month,9,150,816586.5303687945,563574.7372000001,0.20802742249211004,-171797.97573333335
xgb,prediction_raw,month,9,150,846753.6378322181,615930.0101333334,0.24031139870602516,42166.185333333306
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,month,9,150,993771.7151398807,736569.2490667386,0.2628197675166706,-545132.1881459196
xgb_no_lag,prediction_raw,odd_year_q4_pressure_flag,0,1279,855047.0614577932,619407.9726896012,0.21803248554582907,-217856.4413995309
xgb,prediction_raw,odd_year_q4_pressure_flag,0,1279,880464.0110944055,642370.3224003128,0.23124858212611618,-205989.13304925725
xgb_no_lag_residual_no_marketing,prediction_raw,odd_year_q4_pressure_flag,0,1279,928990.1608188418,659956.3423590068,0.22080889343767499,-366590.6527076748
xgb_no_lag_residual,prediction_raw,odd_year_q4_pressure_flag,0,1279,933459.7491784436,664426.0245737137,0.22180201581509243,-377379.52526218526
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,odd_year_q4_pressure_flag,0,1279,1132790.4707985807,842685.9289481388,0.2758690165420838,-599717.1874572895
xgb_no_lag,prediction_raw,odd_year_q4_pressure_flag,1,184,556599.0114329207,423144.1334782609,0.23392971149199562,-173570.7722826087
xgb,prediction_raw,odd_year_q4_pressure_flag,1,184,579235.9426544873,442679.6219565217,0.26501126819148657,37137.18423913044
xgb_no_lag_residual,prediction_raw,odd_year_q4_pressure_flag,1,184,633716.5999523269,476820.01146037236,0.25227680280868314,-277045.8428039156
xgb_no_lag_residual_no_marketing,prediction_raw,odd_year_q4_pressure_flag,1,184,635806.6639396218,478222.96394356375,0.25379248103313223,-274817.0526774772
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,odd_year_q4_pressure_flag,1,184,869790.5987492548,669458.7449996473,0.34594816684581337,-521101.97126354586
xgb_no_lag,prediction_raw,post_tet_window,0,1421,825948.1875734583,596582.1333708656,0.2203227460600378,-210959.2875580577
xgb,prediction_raw,post_tet_window,0,1421,849777.8314352502,618684.7373821252,0.23584877459086265,-172156.42705137224
xgb_no_lag_residual_no_marketing,prediction_raw,post_tet_window,0,1421,899101.3384784539,638553.7443416887,0.22522357794692707,-352883.5836162398
xgb_no_lag_residual,prediction_raw,post_tet_window,0,1421,903217.4356810569,642380.708304225,0.22586307424371832,-362796.76381569885
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,post_tet_window,0,1421,1107173.4671921115,824630.2658472323,0.2854534981635377,-590271.0925972412
xgb_no_lag,prediction_raw,post_tet_window,1,42,735089.6847080304,531859.6692857142,0.21019032800783113,-257196.73880952375
xgb,prediction_raw,post_tet_window,1,42,803283.9204815108,568897.165952381,0.22352145697429238,-285537.5340476191
xgb_no_lag_residual,prediction_raw,post_tet_window,1,42,832272.79595434,588399.548528202,0.2179114629518374,-431205.8691463647
xgb_no_lag_residual_no_marketing,prediction_raw,post_tet_window,1,42,837734.008261218,587912.2984106138,0.21594492748331653,-428290.71874035744
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,post_tet_window,1,42,957735.1383373295,694669.1532306522,0.25860747539446965,-574900.5449925242
xgb_no_lag,prediction_raw,pre_tet_window,0,1400,832645.4633861254,601417.1495214285,0.22022516249393553,-215640.7170214286
xgb,prediction_raw,pre_tet_window,0,1400,857870.4983595719,624081.9957571429,0.23555723999983863,-178166.94285714286
xgb_no_lag_residual_no_marketing,prediction_raw,pre_tet_window,0,1400,907569.8568983944,645685.2117869012,0.22569577581706401,-358282.1312155227
xgb_no_lag_residual,prediction_raw,pre_tet_window,0,1400,911310.8791201802,649446.1729221432,0.22633265868913435,-368304.4630565327
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,pre_tet_window,0,1400,1116112.0975843356,832162.0819507289,0.2855077120451392,-595867.9323323839
xgb_no_lag,prediction_raw,pre_tet_window,1,63,583771.3084123868,445989.02063492057,0.2157363243830617,-137752.48920634922
xgb,prediction_raw,pre_tet_window,1,63,603146.5271060249,465553.94809523807,0.2341091093136828,-114176.8138095238
xgb_no_lag_residual_no_marketing,prediction_raw,pre_tet_window,1,63,630341.4949921763,446315.7260495814,0.20854452496814238,-283187.28260381
xgb_no_lag_residual,prediction_raw,pre_tet_window,1,63,638254.2851631814,449382.9436109158,0.21012679015099633,-286009.5175731673
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,pre_tet_window,1,63,760585.5380792774,570615.8329140333,0.2663513967263481,-455649.84452425764
xgb_no_lag,prediction_raw,promo_window_midyear,0,1125,804000.0677087513,570598.5457155557,0.2306115968831541,-219040.6838666667
xgb,prediction_raw,promo_window_midyear,0,1125,831407.2800158121,598934.7937955555,0.2502909742775196,-151620.6893511111
xgb_no_lag_residual_no_marketing,prediction_raw,promo_window_midyear,0,1125,856429.4199375641,607819.4856447731,0.2365471697481819,-335086.9282836348
xgb_no_lag_residual,prediction_raw,promo_window_midyear,0,1125,863352.9958356214,612435.5193659342,0.23742209861129393,-345899.7436923294
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,promo_window_midyear,0,1125,1023992.5892589187,761169.4357276511,0.2930730416937866,-535638.0322591932
xgb_no_lag,prediction_raw,promo_window_midyear,1,338,885232.9542372713,675023.5316568047,0.18481825276359246,-189806.63106508876
xgb,prediction_raw,promo_window_midyear,1,338,902976.9740684509,678233.8750591716,0.186247526107475,-254596.40162721893
xgb_no_lag_residual,prediction_raw,promo_window_midyear,1,338,1017300.1286146267,735342.6279639418,0.18640192013785564,-427537.3853029138
xgb_no_lag_residual_no_marketing,prediction_raw,promo_window_midyear,1,338,1021995.9705609165,734556.9996817032,0.18638113979342605,-421488.1307298302
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,promo_window_midyear,1,338,1333237.6696724235,1019704.4290266187,0.256756695122618,-770201.950233057
xgb_no_lag,prediction_raw,promo_window_q4,0,1003,917838.442154081,671371.560438684,0.2125494408265968,-229542.28879361917
xgb,prediction_raw,promo_window_q4,0,1003,948491.8948059418,698278.4952043869,0.22379450902468148,-247000.2963210369
xgb_no_lag_residual_no_marketing,prediction_raw,promo_window_q4,0,1003,1010215.6253445335,728653.929765901,0.2193334213569524,-399635.55052084115
xgb_no_lag_residual,prediction_raw,promo_window_q4,0,1003,1014413.4738034206,733101.3377213383,0.2202724226086067,-410817.87348081707
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,promo_window_q4,0,1003,1229018.9217244913,929635.6938246608,0.27504544795408914,-662600.192419785
xgb_no_lag,prediction_raw,promo_window_q4,1,460,565556.4207353351,427599.2228478261,0.2363467973447087,-174661.9456304348
xgb,prediction_raw,promo_window_q4,1,460,572753.123823794,440589.9176086957,0.2610067768147404,-19316.439260869553
xgb_no_lag_residual_no_marketing,prediction_raw,promo_window_q4,1,460,579712.9385400651,437472.3819295363,0.2372194991214334,-257828.96811601755
xgb_no_lag_residual,prediction_raw,promo_window_q4,1,460,582768.7724613802,439641.5778347518,0.23732710884319216,-264335.914749991
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,promo_window_q4,1,460,759597.4625666977,583806.7636923256,0.30569641425870314,-431158.80972461164
xgb_no_lag,prediction_raw,year_end_inventory_clearance_window,0,853,866097.725239251,629338.1689917936,0.21024855668643447,-254080.8590504103
xgb,prediction_raw,year_end_inventory_clearance_window,0,853,900340.2895558408,652956.7225556857,0.22514793317630996,-274826.3253927315
xgb_no_lag_residual_no_marketing,prediction_raw,year_end_inventory_clearance_window,0,853,968651.2722361117,682086.6787065957,0.21685420073588843,-443874.0476248817
xgb_no_lag_residual,prediction_raw,year_end_inventory_clearance_window,0,853,969084.2358477933,682987.9363772082,0.21637963986614456,-450740.22815793747
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,year_end_inventory_clearance_window,0,853,1190936.5151753428,886859.636339413,0.2779843441280947,-686671.3370510949
xgb_no_lag,prediction_raw,year_end_inventory_clearance_window,1,610,759886.427024819,546321.0811147541,0.23371245421985906,-153843.34078688527
xgb,prediction_raw,year_end_inventory_clearance_window,1,610,770122.8671060698,567332.1450000001,0.24996364407728475,-36393.44870491805
xgb_no_lag_residual_no_marketing,prediction_raw,year_end_inventory_clearance_window,1,610,787016.2875027469,574192.2136164907,0.2362881278510981,-230838.0653799142
xgb_no_lag_residual,prediction_raw,year_end_inventory_clearance_window,1,610,796790.4395713937,581880.4226372616,0.2385768477679993,-244530.21847136843
xgb_no_lag_residual_legacy_lookup_mic,prediction_raw,year_end_inventory_clearance_window,1,610,967164.4271679433,728663.0203394839,0.2940496546158853,-454410.483550462
